Expresion, Resultado, Fecha
3*7,21.0,2023-10-23 07:11:26
4*6,24.0,2023-10-23 07:47:50
1|1,true,2023-10-23 07:47:56
1|0,true,2023-10-23 07:47:59
0|0,false,2023-10-23 07:48:07
5*7,35.0,2023-10-23 07:49:05
5*7,35.0,2023-10-23 07:50:10
1|0,true,2023-10-23 07:50:16
7/8,0.875,2023-10-23 22:03:29
1&0,false,2023-10-23 22:03:37
3-2,1.0,2023-10-24 10:30:43
1/8,0.125,2023-10-26 08:26:08
1&0,false,2023-10-26 08:26:17
1/8,0.125,2023-10-26 08:28:59
4/9,0.4444444444444444,2023-10-26 08:45:17
4/6,0.6666666666666666,2023-10-26 09:15:48
6/8,0.75,2023-10-26 10:05:10
3/6,0.5,2023-10-26 12:09:35
